_is_concert,song_name_clean,stream_cnt,uniq_users,stream_cnt_ratio,uniq_users_ratio,stream_cnt_total,uniq_users_total,days_diff_song_concert,is_concert
FALSE,紅模仿,3987,74,0.001945652,0.00451082,2049185,16405,451,0
FALSE,爸我回來了,3467,70,0.001691892,0.004266992,2049185,16405,1367,0
FALSE,止戰之殤,3611,69,0.001762164,0.004206035,2049185,16405,1214,0
FALSE,上海一九四三,2996,69,0.001462045,0.004206035,2049185,16405,1367,0
FALSE,她的睫毛,3721,69,0.001815844,0.004206035,2049185,16405,1367,0
FALSE,斷了的弦,4591,67,0.002240403,0.004084121,2049185,16405,1367,0
FALSE,琴房,4818,66,0.002351179,0.004023164,2049185,16405,106,0
FALSE,外婆,2684,65,0.001309789,0.003962207,2049185,16405,1214,0
FALSE,The Swan,3779,64,0.001844148,0.00390125,2049185,16405,106,0
FALSE,小雨寫立可白Ⅱ,5307,63,0.00258981,0.003840293,2049185,16405,106,0
FALSE,妳聽得到,3195,62,0.001559156,0.003779336,2049185,16405,1367,0
FALSE,飄移,3294,62,0.001607468,0.003779336,2049185,16405,932,0
FALSE,愛情懸崖,2900,58,0.001415197,0.003535507,2049185,16405,1367,0
FALSE,阿郎與阿寶,3154,58,0.001539148,0.003535507,2049185,16405,106,0
FALSE,Flash Back,3429,57,0.001673348,0.00347455,2049185,16405,106,0
FALSE,Secret-加長快版,5858,56,0.002858697,0.003413593,2049185,16405,106,0
FALSE,Angel,4103,55,0.002002259,0.003352636,2049185,16405,106,0
FALSE,瓦解,2749,54,0.001341509,0.003291679,2049185,16405,1043,0
FALSE,與父共舞,3387,53,0.001652852,0.003230722,2049185,16405,106,0
FALSE,三年二班,1898,50,0.000926222,0.003047851,2049185,16405,1367,0
FALSE,亂舞春秋,1756,49,0.000856926,0.002986894,2049185,16405,1214,0
FALSE,將軍,1930,48,0.000941838,0.002925937,2049185,16405,1214,0
FALSE,反方向的鐘,2062,48,0.001006254,0.002925937,2049185,16405,1367,0
FALSE,藍色風暴,1858,47,0.000906702,0.00286498,2049185,16405,756,0
FALSE,Ending,4134,47,0.002017387,0.00286498,2049185,16405,106,0
FALSE,龍捲風,3666,46,0.001789004,0.002804023,2049185,16405,1367,0
FALSE,爺爺泡的茶,2947,45,0.001438133,0.002743066,2049185,16405,1367,0
FALSE,對不起,1676,44,0.000817886,0.002682109,2049185,16405,1367,0
FALSE,我的地盤,1814,43,0.00088523,0.002621152,2049185,16405,1214,0
FALSE,梯田,1650,43,0.000805198,0.002621152,2049185,16405,1367,0
FALSE,娘子,1169,36,0.000570471,0.002194453,2049185,16405,1367,0
FALSE,獻世,1510,36,0.000736878,0.002194453,2049185,16405,679,0
TRUE,麥芽糖,2564,33,0.001251229,0.002011582,2049185,16405,756,1
FALSE,雙刀,1439,33,0.00070223,0.002011582,2049185,16405,1367,0
FALSE,逆鱗,1531,31,0.000747126,0.001889668,2049185,16405,756,0
FALSE,菊花台 [杰倫鋼琴演奏版],1176,31,0.000573887,0.001889668,2049185,16405,357,0
FALSE,一路上有你/分手總要在雨天,921,31,0.000449447,0.001889668,2049185,16405,1289,0
FALSE,一路上有你,921,31,0.000449447,0.001889668,2049185,16405,1289,0
FALSE,分手總要在雨天,921,31,0.000449447,0.001889668,2049185,16405,1289,0
FALSE,你怎麼連話都說不清楚,1882,30,0.000918414,0.001828711,2049185,16405,1289,0
FALSE,威廉古堡,1848,30,0.000901822,0.001828711,2049185,16405,1367,0
FALSE,星晴/回到過去/最後的戰役/愛我別走,1327,30,0.000647575,0.001828711,2049185,16405,1033,0
FALSE,愛我別走,1327,30,0.000647575,0.001828711,2049185,16405,1033,0
FALSE,倒帶,1875,28,0.000914998,0.001706797,2049185,16405,1043,0
FALSE,鬥牛,1534,26,0.00074859,0.001584883,2049185,16405,1367,0
FALSE,困獸之鬥,1306,26,0.000637327,0.001584883,2049185,16405,1214,0
FALSE,龍拳,1968,25,0.000960382,0.001523926,2049185,16405,1367,0
FALSE,忍者,2093,25,0.001021382,0.001523926,2049185,16405,1367,0
FALSE,完美主義,1284,25,0.000626591,0.001523926,2049185,16405,1367,0
FALSE,找自己,2039,24,0.00099503,0.001462969,2049185,16405,1225,0
FALSE,伊斯坦堡,1223,24,0.000596823,0.001462969,2049185,16405,1367,0
FALSE,半獸人,1854,23,0.00090475,0.001402012,2049185,16405,1367,0
FALSE,印地安老斑鳩,1170,21,0.000570959,0.001280098,2049185,16405,1367,0
FALSE,火車叨位去,1049,19,0.000511911,0.001158183,2049185,16405,1367,0
FALSE,同一種調調,1016,18,0.000495807,0.001097226,2049185,16405,1367,0
FALSE,米蘭的小鐵匠,1405,16,0.000685638,0.000975312,2049185,16405,1367,0
FALSE,梯田/爸我回來了,702,16,0.000342575,0.000975312,2049185,16405,1033,0
FALSE,雙刀/雙截棍/龍拳,596,14,0.000290847,0.000853398,2049185,16405,1033,0
FALSE,懦夫,1012,12,0.000493855,0.000731484,2049185,16405,1367,0
FALSE,黃金甲 [OS版],713,10,0.000347943,0.00060957,2049185,16405,361,0
FALSE,七里香 [OS版],216,7,0.000105408,0.000426699,2049185,16405,1221,0
FALSE,說了再見,19406,10738,0.078296094,0.155186866,247854,69194,317,0
FALSE,天地一鬥,11773,7305,0.047499738,0.105572738,247854,69194,36,0
TRUE,說好的幸福呢,11127,6721,0.044893365,0.097132699,247854,69194,903,1
FALSE,給我一首歌的時間,7252,4515,0.029259161,0.065251322,247854,69194,898,0
TRUE,稻香,6216,4062,0.025079281,0.058704512,247854,69194,919,1
FALSE,超人不會飛,6065,3780,0.024470051,0.054629014,247854,69194,337,0
TRUE,雨下一整晚,4395,2826,0.017732213,0.040841691,247854,69194,317,1
FALSE,煙花易冷,3423,2362,0.01381055,0.034135908,247854,69194,317,0
FALSE,好久不見,3044,2145,0.012281424,0.030999798,247854,69194,317,0
FALSE,自導自演,2727,1647,0.011002445,0.023802642,247854,69194,317,0
TRUE,跨時代,2362,1596,0.009529804,0.023065584,247854,69194,325,1
FALSE,我落淚．情緒零碎,2475,1581,0.009985717,0.022848802,247854,69194,317,0
TRUE,愛的飛行日記,2588,1533,0.010441631,0.0221551,247854,69194,317,1
FALSE,蘭亭序,2189,1405,0.008831812,0.020305229,247854,69194,898,0
FALSE,世界末日,1657,1074,0.006685387,0.015521577,247854,69194,1052,0
TRUE,免費教學錄影帶,1513,1061,0.0061044,0.015333699,247854,69194,317,1
